time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2015-07-30 04:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.1,4.54,1.99,20.75,0.0,0.0
2015-07-30 04:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.1,4.54,1.99,20.75,0.0,0.0
2015-07-30 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.1,4.54,1.99,20.75,0.0,0.0
2015-07-30 04:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.1,4.54,1.99,20.75,0.0,0.0
2015-07-30 04:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.1,4.54,1.98,19.44,0.0,0.0
2015-07-30 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.09,4.27,1.98,19.44,0.0,0.0
2015-07-30 05:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.09,4.27,1.98,19.44,0.0,0.0
2015-07-30 05:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.09,4.27,1.98,19.44,0.0,0.0
2015-07-30 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.09,4.27,1.97,18.19,0.0,0.0
2015-07-30 05:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.09,4.27,1.97,18.19,0.0,0.0
2015-07-30 05:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.08,4.02,1.97,18.19,0.0,0.0
2015-07-30 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.08,4.02,1.97,18.19,0.0,0.0
2015-07-30 06:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.08,4.02,1.97,18.19,0.0,0.0
2015-07-30 06:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.08,4.02,1.96,16.99,0.0,0.0
2015-07-30 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.08,4.02,1.96,16.99,0.0,0.0
2015-07-30 06:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.08,4.02,1.96,16.99,0.0,0.0
2015-07-30 06:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.08,4.02,1.95,15.84,0.0,0.0
2015-07-30 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.95,15.84,0.0,0.0
2015-07-30 07:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.95,15.84,0.0,0.0
2015-07-30 07:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.95,15.84,0.0,0.0
2015-07-30 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.95,15.84,0.0,0.0
2015-07-30 07:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.94,14.75,0.0,0.0
2015-07-30 07:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.94,14.75,0.0,0.0
2015-07-30 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.94,14.75,0.0,0.0
2015-07-30 08:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.94,14.75,0.0,0.0
2015-07-30 08:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.94,14.75,0.0,0.0
2015-07-30 08:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.94,14.75,0.0,0.0
2015-07-30 08:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 08:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 09:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 09:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 09:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 09:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 10:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 10:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 10:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 10:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 11:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 11:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 11:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 11:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 12:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 12:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 12:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 12:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 13:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 13:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 13:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 13:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 14:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 14:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 14:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 14:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 15:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 15:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 15:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 15:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 16:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 16:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 16:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 16:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 17:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 17:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 17:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 17:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 18:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 18:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 18:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 18:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 19:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 19:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.93,13.7,0.0,0.0
2015-07-30 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 19:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 19:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 20:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 20:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 20:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 20:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 21:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 21:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 21:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 21:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 22:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 22:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 22:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 22:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 23:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 23:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 23:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-30 23:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-31 00:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-31 00:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-31 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-31 00:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-31 00:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.54,1.93,13.7,0.0,0.0
2015-07-31 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.31,1.93,13.7,0.0,0.0
2015-07-31 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.31,1.93,13.7,0.0,0.0
2015-07-31 01:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.31,1.93,13.7,0.0,0.0
2015-07-31 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.31,1.93,13.7,0.0,0.0
2015-07-31 01:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.31,1.93,13.7,0.0,0.0
2015-07-31 01:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.31,1.93,13.7,0.0,0.0
2015-07-31 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.31,1.93,13.7,0.0,0.0
2015-07-31 02:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.31,1.93,13.7,0.0,0.0
2015-07-31 02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.31,1.93,13.7,0.0,0.0
2015-07-31 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.31,1.93,13.7,0.0,0.0
2015-07-31 02:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.31,1.93,13.7,0.0,0.0
2015-07-31 02:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.31,1.93,13.7,0.0,0.0
2015-07-31 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.31,1.93,13.7,0.0,0.0
2015-07-31 03:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.31,1.93,13.7,0.0,0.0
2015-07-31 03:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.31,1.93,13.7,0.0,0.0
2015-07-31 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.31,1.93,13.7,0.0,0.0
2015-07-31 03:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.31,1.92,12.71,0.0,0.0
2015-07-31 03:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.31,1.92,12.71,0.0,0.0
2015-07-31 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.04,3.10,1.92,12.71,0.0,0.0
2015-07-31 04:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.04,3.10,1.92,12.71,0.0,0.0
2015-07-31 04:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.04,3.10,1.92,12.71,0.0,0.0
2015-07-31 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.04,3.10,1.92,12.71,0.0,0.0
2015-07-31 04:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.04,3.10,1.92,12.71,0.0,0.0
2015-07-31 04:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.04,3.10,1.92,12.71,0.0,0.0
2015-07-31 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.04,3.10,1.91,11.77,0.0,0.0
2015-07-31 05:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.04,3.10,1.91,11.77,0.0,0.0
2015-07-31 05:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.04,3.10,1.91,11.77,0.0,0.0
2015-07-31 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.04,3.10,1.91,11.77,0.0,0.0
2015-07-31 05:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.04,3.10,1.91,11.77,0.0,0.0
2015-07-31 05:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.03,2.90,1.91,11.77,0.0,0.0
2015-07-31 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.03,2.90,1.91,11.77,0.0,0.0
2015-07-31 06:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.03,2.90,1.9,10.87,0.0,0.0
2015-07-31 06:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.70,1.9,10.87,0.0,0.0
2015-07-31 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.70,1.9,10.87,0.0,0.0
2015-07-31 06:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.70,1.9,10.87,0.0,0.0
2015-07-31 06:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.70,1.9,10.87,0.0,0.0
