time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2024-07-05 10:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.98,10.35,0.0,0.0
2024-07-05 10:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.98,10.35,0.0,0.0
2024-07-05 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.97,10.35,0.0,0.0
2024-07-05 10:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.97,10.35,0.0,0.0
2024-07-05 10:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.97,10.35,0.0,0.0
2024-07-05 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.97,10.35,0.0,0.0
2024-07-05 11:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.96,9.8,0.0,0.0
2024-07-05 11:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.96,9.8,0.0,0.0
2024-07-05 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.96,9.8,0.0,0.0
2024-07-05 11:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.96,9.8,0.0,0.0
2024-07-05 11:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.95,9.8,0.0,0.0
2024-07-05 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.95,9.8,0.0,0.0
2024-07-05 12:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.95,9.8,0.0,0.0
2024-07-05 12:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.95,9.8,0.0,0.0
2024-07-05 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.94,9.8,0.0,0.0
2024-07-05 12:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.94,9.8,0.0,0.0
2024-07-05 12:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.94,9.8,0.0,0.0
2024-07-05 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.94,9.8,0.0,0.0
2024-07-05 13:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.94,9.8,0.0,0.0
2024-07-05 13:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.94,9.27,0.0,0.0
2024-07-05 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.93,9.27,0.0,0.0
2024-07-05 13:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.93,9.27,0.0,0.0
2024-07-05 13:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.93,9.8,0.0,0.0
2024-07-05 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.93,9.8,0.0,0.0
2024-07-05 14:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.93,9.8,0.0,0.0
