time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2025-10-06 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.91,12.71,0.0,0.0
2025-10-06 06:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.91,12.71,0.0,0.0
2025-10-06 06:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.91,12.71,0.0,0.0
2025-10-06 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.91,12.71,0.0,0.0
2025-10-06 06:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.91,12.71,0.0,0.0
2025-10-06 06:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.91,12.71,0.0,0.0
2025-10-06 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.91,12.71,0.0,0.0
2025-10-06 07:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.9,12.2,0.0,0.0
2025-10-06 07:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.9,12.2,0.0,0.0
2025-10-06 07:30:00,0.0,0.0,1.0,0.0,0.0,0.0,0.83,4.8,1.9,12.2,0.016,0.0
2025-10-06 07:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.9,12.2,0.0,0.0
2025-10-06 07:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.9,12.2,0.0,0.0
2025-10-06 08:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.83,4.8,1.9,12.2,0.016,0.0
2025-10-06 08:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.9,12.2,0.0,0.0
2025-10-06 08:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.9,12.2,0.0,0.0
2025-10-06 08:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.9,12.2,0.0,0.0
2025-10-06 08:40:00,0.0,0.0,1.0,0.0,0.0,1.0,0.83,4.8,1.9,12.2,0.267,0.061
2025-10-06 08:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.9,12.2,0.0,0.0
2025-10-06 09:00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.83,4.8,1.89,11.7,0.373,0.0
2025-10-06 09:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.89,11.7,0.0,0.0
2025-10-06 09:20:00,0.0,0.0,0.0,0.0,0.0,1.0,0.83,4.8,1.89,11.7,0.251,0.061
2025-10-06 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.89,11.7,0.0,0.0
2025-10-06 09:40:00,0.0,0.0,1.0,0.0,0.0,1.0,0.83,4.8,1.89,11.7,0.267,0.061
2025-10-06 09:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.89,11.7,0.0,0.0
2025-10-06 10:00:00,0.0,0.0,0.0,1.0,0.0,1.0,0.83,4.8,1.89,11.7,0.325,0.5489999999999999
2025-10-06 10:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.89,11.7,0.0,0.0
2025-10-06 10:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.89,11.7,0.0,0.0
2025-10-06 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.89,11.7,0.0,0.0
2025-10-06 10:40:00,0.0,0.0,0.0,0.0,0.0,1.0,0.83,4.8,1.89,11.7,0.251,0.061
2025-10-06 10:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.89,11.7,0.0,0.0
2025-10-06 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.89,11.7,0.0,0.0
2025-10-06 11:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.89,11.7,0.0,0.0
2025-10-06 11:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.8,1.89,11.7,0.0,0.0
2025-10-06 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,5.09,1.89,11.7,0.0,0.0
2025-10-06 11:40:00,0.0,0.0,0.0,0.0,0.0,1.0,0.84,5.09,1.89,11.7,0.251,0.061
2025-10-06 11:50:00,0.0,0.0,0.0,0.0,1.0,0.0,0.84,5.09,1.89,11.7,0.125,0.451
2025-10-06 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.89,11.7,0.0,0.0
2025-10-06 12:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.89,11.7,0.0,0.0
2025-10-06 12:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.89,11.7,0.0,0.0
2025-10-06 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.89,11.7,0.0,0.0
2025-10-06 12:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.89,11.7,0.0,0.0
2025-10-06 12:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.39,1.89,11.7,0.0,0.0
2025-10-06 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,5.69,1.89,11.7,0.0,0.0
2025-10-06 13:10:00,0.0,0.0,0.0,1.0,0.0,0.0,0.86,5.69,1.88,11.21,0.074,0.488
2025-10-06 13:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,5.69,1.88,11.21,0.0,0.0
2025-10-06 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,5.69,1.88,11.21,0.0,0.0
2025-10-06 13:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,5.69,1.88,11.21,0.0,0.0
2025-10-06 13:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,5.69,1.88,11.21,0.0,0.0
2025-10-06 14:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.86,5.69,1.88,11.21,0.016,0.0
2025-10-06 14:10:00,0.0,0.0,0.0,0.0,0.0,1.0,0.86,5.69,1.88,11.21,0.251,0.061
2025-10-06 14:20:00,0.0,0.0,0.0,1.0,0.0,0.0,0.86,5.69,1.88,11.21,0.074,0.488
2025-10-06 14:30:00,1.0,0.0,0.0,1.0,1.0,1.0,0.86,5.69,1.88,11.21,0.611,1.0
2025-10-06 14:40:00,0.0,1.0,0.0,1.0,1.0,1.0,0.86,5.69,1.88,11.21,0.823,1.0
2025-10-06 14:50:00,0.0,0.0,1.0,0.0,0.0,0.0,0.87,6.0,1.88,11.21,0.016,0.0
2025-10-06 15:00:00,1.0,0.0,0.0,0.0,1.0,1.0,0.87,6.0,1.88,11.21,0.537,0.512
2025-10-06 15:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.88,6.32,1.88,11.21,0.0,0.0
2025-10-06 15:20:00,0.0,0.0,0.0,1.0,0.0,0.0,0.89,6.64,1.89,11.7,0.074,0.488
2025-10-06 15:30:00,0.0,0.0,0.0,0.0,0.0,1.0,0.89,6.64,1.89,11.7,0.251,0.061
2025-10-06 15:40:00,0.0,1.0,0.0,0.0,0.0,0.0,0.89,6.64,1.89,11.7,0.373,0.0
2025-10-06 15:50:00,0.0,0.0,1.0,1.0,0.0,0.0,0.9,6.98,1.88,11.21,0.09,0.488
2025-10-06 16:00:00,0.0,0.0,0.0,1.0,1.0,1.0,0.9,6.98,1.88,11.21,0.45,1.0
2025-10-06 16:10:00,1.0,0.0,0.0,0.0,1.0,1.0,0.9,6.98,1.89,11.7,0.537,0.512
2025-10-06 16:20:00,0.0,0.0,0.0,1.0,0.0,0.0,0.92,7.66,1.89,11.7,0.074,0.488
2025-10-06 16:30:00,0.0,1.0,1.0,1.0,1.0,0.0,0.93,8.01,1.89,11.7,0.5880000000000001,0.939
2025-10-06 16:40:00,1.0,0.0,1.0,1.0,1.0,1.0,0.95,8.73,1.89,11.7,0.627,1.0
2025-10-06 16:50:00,0.0,0.0,0.0,2.0,1.0,1.0,0.97,9.48,1.89,11.7,0.524,1.488
2025-10-06 17:00:00,1.0,1.0,1.0,1.0,1.0,2.0,1.0,10.66,1.89,11.7,1.251,1.061
2025-10-06 17:10:00,1.0,0.0,0.0,1.0,1.0,1.0,1.03,11.88,1.9,12.2,0.611,1.0
2025-10-06 17:20:00,1.0,1.0,1.0,1.0,1.0,1.0,1.06,13.17,1.9,12.2,1.0,1.0
2025-10-06 17:30:00,1.0,1.0,2.0,2.0,2.0,2.0,1.09,14.51,1.9,12.2,1.466,2.0
2025-10-06 17:40:00,1.0,1.0,1.0,1.0,1.0,0.0,1.12,15.9,1.91,12.71,0.749,0.939
2025-10-06 17:50:00,0.0,1.0,1.0,1.0,1.0,1.0,1.16,17.85,1.91,12.71,0.839,1.0
2025-10-06 18:00:00,1.0,0.0,0.0,1.0,1.0,1.0,1.2,19.88,1.92,13.22,0.611,1.0
2025-10-06 18:10:00,0.0,0.0,0.0,2.0,2.0,1.0,1.23,21.47,1.93,13.74,0.649,1.939
2025-10-06 18:20:00,0.0,0.0,1.0,2.0,3.0,1.0,1.28,24.23,1.94,14.28,0.79,2.39
2025-10-06 18:30:00,1.0,1.0,0.0,2.0,2.0,1.0,1.34,27.61,1.96,15.36,1.183,1.939
2025-10-06 18:40:00,1.0,1.0,1.0,3.0,3.0,3.0,1.41,31.72,1.97,15.92,1.9,3.0
2025-10-06 18:50:00,1.0,1.0,1.0,4.0,4.0,4.0,1.48,36.2,1.99,17.05,2.35,4.0
2025-10-06 19:00:00,2.0,2.0,2.0,3.0,4.0,4.0,1.61,45.52,2.02,18.81,2.826,3.512
2025-10-06 19:10:00,0.0,1.0,1.0,3.0,3.0,4.0,1.77,58.86,2.05,20.63,1.99,3.061
2025-10-06 19:20:00,1.0,1.0,0.0,2.0,3.0,2.0,1.88,69.3,2.08,22.52,1.559,2.451
2025-10-06 19:30:00,1.0,1.0,1.0,1.0,3.0,2.0,1.96,77.57,2.11,24.47,1.501,1.963
2025-10-06 19:40:00,0.0,1.0,1.0,4.0,4.0,3.0,2.02,84.16,2.14,26.49,1.938,3.939
2025-10-06 19:50:00,2.0,2.0,1.0,3.0,4.0,1.0,2.07,89.9,2.35,42.31,2.057,3.329
2025-10-06 20:00:00,2.0,2.0,2.0,2.0,3.0,2.0,2.11,94.67,2.82,99.25,2.125,2.451
2025-10-06 20:10:00,2.0,2.0,2.0,2.0,2.0,1.0,2.13,97.11,2.95,117.85,1.749,1.939
2025-10-06 20:20:00,1.0,1.0,1.0,2.0,1.0,2.0,2.14,98.35,3.14,146.9,1.3250000000000002,1.549
2025-10-06 20:30:00,1.0,1.0,1.0,1.0,2.0,0.0,2.15,99.6,3.28,168.99,0.874,1.39
2025-10-06 20:40:00,0.0,1.0,1.0,2.0,2.0,2.0,2.15,99.6,3.38,185.43,1.289,2.0
2025-10-06 20:50:00,1.0,0.0,1.0,2.0,2.0,1.0,2.13,97.11,3.44,195.58,0.8260000000000001,1.939
2025-10-06 21:00:00,0.0,0.0,1.0,1.0,1.0,1.0,2.11,94.67,3.48,202.47,0.466,1.0
2025-10-06 21:10:00,0.0,1.0,0.0,1.0,0.0,1.0,2.06,88.73,3.49,204.2,0.698,0.5489999999999999
2025-10-06 21:20:00,1.0,0.0,1.0,1.0,1.0,2.0,2.01,83.03,3.49,204.2,0.878,1.061
2025-10-06 21:30:00,0.0,1.0,0.0,1.0,0.0,3.0,1.94,75.45,3.47,200.73,1.2,0.671
2025-10-06 21:40:00,1.0,1.0,1.0,1.0,0.0,1.0,1.86,67.32,3.43,193.87,0.875,0.5489999999999999
2025-10-06 21:50:00,0.0,1.0,1.0,0.0,0.0,1.0,1.79,60.68,3.39,187.1,0.64,0.061
2025-10-06 22:00:00,1.0,1.0,1.0,1.0,0.0,0.0,1.73,55.32,3.35,180.43,0.624,0.488
2025-10-06 22:10:00,1.0,1.0,1.0,0.0,1.0,1.0,1.69,51.92,3.3,172.23,0.926,0.512
2025-10-06 22:20:00,1.0,0.0,1.0,1.0,0.0,1.0,1.66,49.46,3.27,167.38,0.502,0.5489999999999999
2025-10-06 22:30:00,1.0,1.0,1.0,0.0,0.0,0.0,1.62,46.29,3.24,162.59,0.55,0.0
2025-10-06 22:40:00,0.0,0.0,1.0,1.0,0.0,1.0,1.59,44.0,3.2,156.28,0.341,0.5489999999999999
2025-10-06 22:50:00,0.0,1.0,0.0,0.0,0.0,0.0,1.56,41.78,3.16,150.09,0.373,0.0
2025-10-06 23:00:00,1.0,0.0,1.0,0.0,1.0,1.0,1.54,40.34,3.11,142.17,0.553,0.512
2025-10-06 23:10:00,0.0,1.0,0.0,1.0,0.0,0.0,1.52,38.93,3.04,131.34,0.447,0.488
2025-10-06 23:20:00,1.0,1.0,1.0,0.0,0.0,1.0,1.5,37.55,2.99,123.78,0.801,0.061
2025-10-06 23:30:00,0.0,1.0,1.0,1.0,0.0,0.0,1.49,36.87,2.95,117.85,0.463,0.488
2025-10-06 23:40:00,0.0,0.0,0.0,0.0,0.0,1.0,1.48,36.2,2.92,113.46,0.251,0.061
2025-10-06 23:50:00,1.0,0.0,1.0,0.0,0.0,0.0,1.47,35.54,2.88,107.7,0.177,0.0
2025-10-07 00:00:00,0.0,1.0,0.0,1.0,1.0,1.0,1.46,34.88,2.86,104.86,0.823,1.0
2025-10-07 00:10:00,0.0,0.0,1.0,0.0,0.0,1.0,1.45,34.24,2.84,102.04,0.267,0.061
2025-10-07 00:20:00,1.0,1.0,0.0,1.0,0.0,0.0,1.44,33.6,2.82,99.25,0.608,0.488
2025-10-07 00:30:00,0.0,0.0,1.0,0.0,0.0,0.0,1.43,32.97,2.81,97.87,0.016,0.0
2025-10-07 00:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.42,32.34,2.8,96.49,0.0,0.0
2025-10-07 00:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.41,31.72,2.78,93.75,0.0,0.0
2025-10-07 01:00:00,0.0,0.0,0.0,0.0,0.0,1.0,1.4,31.11,2.77,92.39,0.251,0.061
2025-10-07 01:10:00,0.0,1.0,0.0,1.0,0.0,0.0,1.4,31.11,2.76,91.04,0.447,0.488
2025-10-07 01:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.39,30.51,2.75,89.69,0.0,0.0
2025-10-07 01:30:00,0.0,0.0,1.0,0.0,0.0,0.0,1.38,29.92,2.74,88.36,0.016,0.0
2025-10-07 01:40:00,0.0,0.0,0.0,0.0,1.0,0.0,1.38,29.92,2.73,87.02,0.125,0.451
2025-10-07 01:50:00,0.0,0.0,0.0,0.0,0.0,1.0,1.37,29.33,2.72,85.7,0.251,0.061
2025-10-07 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.37,29.33,2.72,85.7,0.0,0.0
2025-10-07 02:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.36,28.75,2.7,83.07,0.0,0.0
2025-10-07 02:20:00,1.0,1.0,0.0,0.0,0.0,0.0,1.36,28.75,2.68,80.47,0.534,0.0
2025-10-07 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.35,28.18,2.66,77.9,0.0,0.0
2025-10-07 02:40:00,0.0,0.0,1.0,1.0,1.0,0.0,1.35,28.18,2.63,74.09,0.215,0.939
2025-10-07 02:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.34,27.61,2.61,71.59,0.0,0.0
2025-10-07 03:00:00,0.0,0.0,0.0,0.0,0.0,1.0,1.33,27.05,2.59,69.12,0.251,0.061
2025-10-07 03:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.33,27.05,2.57,66.67,0.0,0.0
2025-10-07 03:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.32,26.5,2.55,64.26,0.0,0.0
